concentration,fluorescence,unit
0,19556,uM
0,20080,uM
1,27442,uM
1,25329,uM
2,36797,uM
2,37205,uM
4,54787,uM
4,51785,uM
6,74707,uM
6,78220,uM
8,104197,uM
8,92690,uM
10,118346,uM
10,117369,uM
12,125025,uM
12,139803,uM
