concentration,fluorescence,unit
0,17557,uM
0,18590,uM
1,24626,uM
1,26501,uM
2,33567,uM
2,35468,uM
4,53718,uM
4,57038,uM
6,78414,uM
6,74675,uM
8,95390,uM
8,91678,uM
10,113138,uM
10,108311,uM
12,137863,uM
12,134776,uM
